id,stock_date,pupa_date,pupa_mass,sex,acc_temp,survival_temp,emerge_date,emerge_TOD,death_date,death_TOD,notes
489,2024-05-03,2024-06-02,0.51,Male,23,26,2024-06-14,AM,2024-06-20,AM,NA
499,2024-05-03,2024-06-02,0.924,Male,23,26,2024-06-15,PM,2024-06-25,PM,NA
503,2024-05-03,2024-06-02,0.65,Male,23,26,2024-06-13,AM,2024-06-21,PM,NA
505,2024-05-03,2024-06-02,0.649,Male,23,26,2024-06-16,PM,2024-06-25,PM,NA
524,2024-05-03,2024-06-03,0.811,Male,23,26,2024-06-17,PM,2024-06-28,PM,NA
530,2024-05-03,2024-06-03,0.88,Male,23,26,2024-06-17,PM,2024-06-29,AM,NA
531,2024-05-03,2024-06-04,0.754,Male,23,26,2024-06-17,AM,2024-06-28,PM,NA
534,2024-05-03,2024-06-04,2.392,Male,23,26,2024-06-18,PM,2024-06-27,PM,NA
542,2024-05-03,2024-06-04,0.892,Male,23,26,2024-06-17,PM,2024-06-25,PM,NA
545,2024-05-03,2024-06-04,0.823,Male,23,26,2024-06-17,PM,2024-06-27,PM,NA
555,2024-05-03,2024-06-04,0.871,Male,23,26,2024-06-18,PM,2024-06-29,PM,NA
575,2024-05-03,2024-06-05,0.953,Male,23,26,2024-06-19,PM,2024-06-29,PM,NA
578,2024-05-03,2024-06-05,1.036,Male,23,26,2024-06-20,PM,2024-06-29,AM,NA
579,2024-05-03,2024-06-05,0.728,Male,23,26,2024-06-17,AM,2024-06-27,AM,NA
588,2024-05-03,2024-06-05,1.011,Male,23,26,2024-06-20,PM,2024-06-29,AM,NA
591,2024-05-03,2024-06-05,0.851,Male,23,26,2024-06-19,AM,2024-06-29,PM,NA
603,2024-05-03,2024-06-05,1.108,Male,23,26,2024-06-19,PM,2024-06-28,PM,NA
608,2024-05-03,2024-06-05,0.946,Male,23,26,2024-06-18,PM,2024-06-28,AM,NA
627,2024-05-03,2024-06-06,1.127,Male,23,26,2024-06-21,AM,2024-06-30,PM,NA
644,2024-05-03,2024-06-06,1.06,Male,23,26,2024-06-19,PM,2024-06-29,AM,NA
645,2024-05-03,2024-06-06,0.832,Male,23,26,2024-06-20,PM,2024-06-29,PM,NA
660,NA,NA,NA,Male,23,26,2024-06-22,PM,2024-07-01,PM,NA
670,2024-05-03,2024-06-07,0.919,Male,23,26,2024-06-20,PM,2024-06-30,AM,NA
674,2024-05-03,2024-06-07,0.97,Male,23,26,2024-06-23,PM,2024-07-03,AM,NA
685,2024-05-03,2024-06-10,0.837,Male,23,26,2024-06-21,PM,2024-07-03,PM,NA
745,2024-05-03,2024-06-10,0.835,Male,23,26,2024-06-21,PM,2024-07-01,PM,NA
488,2024-05-03,2024-06-02,0.9,Male,23,29,2024-06-15,AM,2024-06-24,AM,NA
491,2024-05-03,2024-06-02,0.579,Male,23,29,2024-06-14,PM,2024-06-22,AM,NA
497,2024-05-03,2024-06-02,0.694,Male,23,29,2024-06-15,PM,2024-06-24,AM,NA
498,2024-05-03,2024-06-02,0.677,Male,23,29,2024-06-15,PM,2024-06-21,PM,NA
515,2024-05-03,2024-06-03,0.721,Male,23,29,2024-06-17,AM,2024-06-26,AM,NA
517,2024-05-03,2024-06-03,0.73,Male,23,29,2024-06-16,PM,2024-06-26,AM,NA
520,2024-05-03,2024-06-03,0.706,Male,23,29,2024-06-17,AM,2024-06-25,AM,NA
525,2024-05-03,2024-06-03,0.943,Male,23,29,2024-06-18,AM,2024-06-25,PM,NA
538,2024-05-03,2024-06-04,1.849,Male,23,29,2024-06-19,AM,2024-06-30,AM,NA
543,2024-05-03,2024-06-04,0.749,Male,23,29,2024-06-18,PM,2024-06-25,PM,NA
